,wikipedia,unique,Unnamed: 2,unique.1,profile,profile.1,production,pryor,delivering,unique.2,profile.2,manufacturing,proposed,canoos,fleet,Unnamed: 15,aims,production.1,saudi,microfactory
0,production,technology,,traditional,informed,goev,sticks,canoos,future,traditional,open,mobility,delayed,proving,electric,,aidriven,know,partnership,manufacturing
1,electric,lifecycle,,technology,overview,officer,executives,manufacturing,electric,technology,openjonathan,linkedin,2022,financial,shipping,,canoo,models,distributor,manufacturer
2,announced,uscanoos,,information,360degree,vice,q4,future,oklahoma,electric,street,okc,vehicle,electric,oklahoma,,industry,future,definitive,electric
3,company,leading,,electric,gain,president,trading,industrial,business,team,wall,team,2021,companys,begins,,vehicle,lifestyle,electric,industrial
4,canoo,vehicledistinguished,,canoo,business,mr,million,press,vehicles,relations,trading,oklahoma,head,canoo,canoo,,disrupt,skateboard,business,oklahoma
5,2022,company,,company,canoo,canoo,canoo,oklahoma,canoo,vehicles,canoo,canoo,industrial,company,vehicles,,experience,platform,vehicles,stitt
6,vehicles,texas,,vehicles,company,company,company,canoo,forwardlooking,vehicle,company,vehicles,electric,doubters,improve,,ev,van,canoo,mega
7,vehicle,vehicle,,vehicle,decisions,vehicles,aquila,battery,state,wide,world,theres,canoo,vehicles,state,,,vehicles,gcc,canoo
8,2021,wide,,wide,view,senior,vans,park,vehicle,automotive,minutes,2024,construction,thats,vehicle,,,company,forwardlooking,facility
9,plant,automotive,,automotive,businessgain,facts,rd,forwardlooking,statements,technologies,taking,journey,maip,vehicle,partners,,,canoo,exclusive,governor
10,,technologies,,technologies,,exercised,vehicle,midamerica,events,investor,moving,,2023,wrong,ldvs,,,battery,olayan,midamerica
11,,,,,,chief,target,module,canoos,,minds,,pryor,startup,factory,,,model,company,vehicle
12,,,,,,pay,2023,facility,,,,,stewart,federal,evs,,,vehicle,statements,chooses
13,,,,,,,,statements,,,,,oklahoma,ev,,,,modules,market,commerce
14,,,,,,,,ev,,,,,million,,,,,,canoos,
15,,,,,,,,,,,,,park,,,,,,,
16,,,,,,,,,,,,,plant,,,,,,,
17,,,,,,,,,,,,,issues,,,,,,,
18,,,,,,,,,,,,,canoos,,,,,,,
